accession	full_path
GCF_002007445.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/445/GCF_002007445.2_ASM200744v3//GCF_002007445.2_ASM200744v3_genomic.gff.gz
GCF_028009165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/009/165/GCF_028009165.1_ASM2800916v1//GCF_028009165.1_ASM2800916v1_genomic.gff.gz
GCA_028009165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/009/165/GCA_028009165.1_ASM2800916v1//GCA_028009165.1_ASM2800916v1_genomic.gff.gz
GCA_022829145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/829/145/GCA_022829145.1_AGOR_1.0//GCA_022829145.1_AGOR_1.0_genomic.gff.gz
GCF_030867095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/867/095/GCF_030867095.1_rAllMis1/GCF_030867095.1_rAllMis1_genomic.gff.gz
GCF_958979055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/958/979/055/GCF_958979055.1_dhAlnGlut1.1/GCF_958979055.1_dhAlnGlut1.1_genomic.gff.gz
GCF_017589495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/589/495/GCF_017589495.1_AALO_Geno_1.1/GCF_017589495.1_AALO_Geno_1.1_genomic.gff.gz
GCA_017589495.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/589/495/GCA_017589495.2_AALO_Geno_1.1//GCA_017589495.2_AALO_Geno_1.1_genomic.gff.gz
GCF_018492685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/492/685/GCF_018492685.1_fAloSap1.pri/GCF_018492685.1_fAloSap1.pri_genomic.gff.gz
GCA_042100115.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/100/115/GCA_042100115.1_ASM4210011v1//GCA_042100115.1_ASM4210011v1_genomic.gff.gz
GCF_026212465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/212/465/GCF_026212465.1_ASM2621246v1/GCF_026212465.1_ASM2621246v1_genomic.gff.gz
GCF_010909765.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/909/765/GCF_010909765.2_sAmbRad1.1.pri/GCF_010909765.2_sAmbRad1.1.pri_genomic.gff.gz
GCA_012411365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/411/365/GCA_012411365.1_AMELA_1.0//GCA_012411365.1_AMELA_1.0_genomic.gff.gz
GCF_036373705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/373/705/GCF_036373705.1_fAmiCal2.hap1/GCF_036373705.1_fAmiCal2.hap1_genomic.gff.gz
GCF_027887145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/145/GCF_027887145.1_bAmmCau1.pri/GCF_027887145.1_bAmmCau1.pri_genomic.gff.gz
GCF_027579445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/579/445/GCF_027579445.1_bAmmNel1.pri/GCF_027579445.1_bAmmNel1.pri_genomic.gff.gz
GCF_022539595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/539/595/GCF_022539595.1_ASM2253959v1/GCF_022539595.1_ASM2253959v1_genomic.gff.gz
GCF_032362555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/362/555/GCF_032362555.1_ilAmyTran1.1/GCF_032362555.1_ilAmyTran1.1_genomic.gff.gz
GCF_900324465.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/324/465/GCF_900324465.2_fAnaTes1.2/GCF_900324465.2_fAnaTes1.2_genomic.gff.gz
GCF_040414725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/414/725/GCF_040414725.1_ASM4041472v1/GCF_040414725.1_ASM4041472v1_genomic.gff.gz
GCF_040417275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/417/275/GCF_040417275.1_iqAnaSimp2/GCF_040417275.1_iqAnaSimp2_genomic.gff.gz
GCF_001540865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/540/865/GCF_001540865.1_ASM154086v1/GCF_001540865.1_ASM154086v1_genomic.gff.gz
GCF_963932015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/932/015/GCF_963932015.1_bAnaAcu1.1/GCF_963932015.1_bAnaAcu1.1_genomic.gff.gz
GCF_015476345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/345/GCF_015476345.1_ZJU1.0/GCF_015476345.1_ZJU1.0_genomic.gff.gz
